id;entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion
450;Hospital Cecilia Grierson;Hospital Cecilia Grierson - Remodelacion y ampliacion (Etapa Nø 2- 3ø Modulo);En ejecucion;Salud;Ministerio de Salud;Esta obra consiste en dos estructuras circulatorias bien diferenciadas: una para el publico y otra para personal tecnico. Se incorporara el centro quirurgico con habitaciones de terapia intensiva y habitaciones de internacion corta estancia. Se construiran edificios anexos como areas de apoyo para mantenimiento, tanques y salas de gases medicos. Esta intervencion abarca una totalidad de 5756 m2 cubiertos y 11095 m2 descubiertos.;296735562;8;VILLA LUGANO;-346.737.528.443.558;-584.590.246.963.232;1/8/2017;31/5/2020;33;88;Henisa Sudamericana S.A.;2017;Licitacion Publica;212--SSASS-2017
451;Hospital Penna;Hospital Penna - Instalacion de sistema de climatizacion para el servicio de Unidad de Terapia Intensiva;Finalizada;Salud;Ministerio de Salud;La obra consistio en la puesta en norma de la instalacion de sistema de climatizacion para el servicio de unidad de terapia intensiva.;8110000;4;PARQUE PATRICIOS;-346.430.517.547.785;-584.114.123.648.285;15/8/2016;30/8/2016;0;100;Ecohm S.R.L.;;;
454;Hospital Santojanni;Hospital Santojanni - Ampliacion Instalaciones Centrales De Oxigeno, Aire Comprimido Vacio (Edificio 3, En 1ø, 2ø, 3ø Y 4ø Piso);Finalizada;Salud;Ministerio de Salud;Se realizo la provision e instalacion de materiales y equipos para la ampliacion de las instalaciones de oxigeno, aire comprimido y aspiracion central correspondientes al edificio 3 en los pisos 1ø, 2ø, 3ø y 4ø del Hospital.;17406748;9;LINIERS;-34.649.353.382.263;-585.158.005.646.782;21/6/2016;31/10/2018;28;100;Indaltec S.A.;2014;Anexo contratacion mantenimiento;
459;Hospital Gutierrez;Hospital Gutierrez - Trabajos De Remodelacion Del Sector De Guardia, Hall Central Y De Ba¤os Publicos;Finalizada;Salud;Ministerio de Salud;La obra de refaccion de guardia en el Hospital Gutierrez consistio en la puesta en valor de las zonas de circulacion de las guardias (publicas y consultorios), las salas de espera, los nuevos sanitarios para mejorar la experiencia de los vecinos y visitantes que utilizan las areas de guardia. En la sala de espera se retiro la carteleria y se¤aletica en paredes que comprenden el sector, se pinto la circulacion de los consultorios en paredes, cielorraso y la puesta a cero los sanitarios publicos existentes.;2391883;2;RECOLETA;-345.945.227.897.072;-584.107.319.065.599;17/7/2017;13/11/2017;4;100;Mejores Hospitales S.A;2014;Ad Mantenimiento;
460;Hospital Gutierrez;Hospital Gutierrez - Provision Y Colocacion De Camara De Frio De Ia Morgue;Finalizada;Salud;Ministerio de Salud;La obra consistio en el desmonte de la camara existente y se realizo una nueva red de emergencia de ultrafreezer.;1800000;2;RECOLETA;-345.945.227.897.072;-584.107.319.065.599;17/4/2017;1/8/2017;4;100;Mejores Hospitales S.A;2014;;
461;Hospital Maria Ferrer;Hospital Maria Ferrer - Instalacion De Sistema De Climatizacion Frio/Calor Con Filtrado Especial - 2ø Parte;Finalizada;Salud;Ministerio de Salud;La obra consistio en la puesta en valor de la totalidad edificada de la terapia intermedia, tareas de obra civil, termomecanica, electricidad y sanitarias. ;8250000;4;BARRACAS;-346.302.416.791.301;-58.375.582.865.246;29/12/2016;29/12/2017;12;100;Tecnaran S.R.L.;2017;;
462;Hospital Udaondo;Hospital Udaondo - Trabajos Para Ampliacion Y Modificacion De Tableros Para Alimentar Pabellones C Y D De Los Transformadores Actuales De Pabellon A Y B;Finalizada;Salud;Ministerio de Salud;La obra consistio en trabajos para la ampliacion y modificacion de tableros para alimentar Pabellones C y D de los transformadores actuales de Pabellon A y B. ;6263000;4;PARQUE PATRICIOS;-346.343.458.788.506;-583.913.609.234.425;10/4/2017;5/12/2017;8;100;Indaltec S.A.;2014;;
468;Hospital Fernandez;Hospital Fernandez - Infraestructura Y Seguridad - 1ø Etapa;Finalizada;Salud;Ministerio de Salud;La primer etapa de la obra de seguridad consistio en la colocacion de puertas internas de seguridad en el sector de guardia y de la colocacion de dos puertas dobles en el sector de la UTI.;6842615;14;PALERMO;-34.581.139;-58.406.896;23/9/2016;31/3/2017;6;100;Mig S.A.;2014;Licitacion Publica;66-SIGAF-MSGC-2014
483;Plazas y Parques de Comuna 2;Recoleta Entrena;Finalizada;Espacio Publico;Subsecretaria de Gestion Comunal;El proyecto consistio en la puesta en valor y aprovechamiento del espacio urbano para la recreacion deportiva. El circuito se conformo por 2 areas: 1-atletismo: compuesto por un circuito de running de 1.3kms cuya pista se realizo con un solado deportivo especial que permite el uso de alto transito, rendimiento, y con amortiguacion permitiendo evitar lesiones en los corredores, tambien cuenta con un area para los usuarios donde pueden realizar ejercicios varios, elongacion, etc. y 2- tecnologia fitness: el sendero de running esta equipado con diversos sensores que miden el desempe¤o atletico de los usuarios y un area con un totem interactivo donde pueden acceder a la informacion personalizada de cada individuo como tambien a tutoriales instructivos de ejercicios.;20640490;2;RECOLETA;-345.830.759.464.569;-583.973.174.066.476;24/11/2017;30/8/2018;9;100;Miavasa S.A;2017;;
487;Entorno Constitucion;Ensanche Constitucion;Finalizada;Transporte;Subsecretaria de Gestion Comunal;El proyecto se baso en una serie de indicadores: ampliacion del suelo absorbente que busco generar un espacio de descanso y esparcimiento para los vecinos dotandolo de nuevas especies arbustivas, la incorporacion de nuevas luminarias que invita a los vecinos a habitarlo brindando mas seguridad por las noches, la incorporacion de nuevo mobiliario urbano y la incorporacion de especies arboreas y arbustivas nuevas.;1741124;1;CONSTITUCION;-346.246.417.322.134;-583.808.961.129.521;7/7/2017;21/11/2017;4;100;Kiva Construcciones S.A;2017;;
488;Plazas y Parques de Comuna 9;Plazoletas Bruix;Finalizada;Espacio Publico;Subsecretaria de Gestion Comunal;El sector que se intervino son los islotes que se generan al cruzar en diagonal la Av. Bruix con las calles Av. Juan B. Alberdi, Escalada, Homero, White y Damaso Larra¤aga. El objetivo del proyecto se baso en ampliar el suelo absorbente de los islotes generando canteros centrales, la realizacion de aceras perimetrales que permiten el paso peatonal, la implementacion de luminarias, la incorporacion de vados peatonales que convirtio a dichos espacios en accesibles 100%, la incorporacion de bolardos metalicos ubicados estrategicamente en el perimetro para evitar el acceso vehicular por encima de los islotes e incorporacion de nuevas especies vegetales y riego de dichos islotes. ;3136293;9;PARQUE AVELLANEDA;-346.448.733.683.404;-584.952.521.276.032;1/9/2017;30/9/2017;0;100;Estilo Quarzo S.R.L;2016;;
491;Barrio 21 24;Barrio 21 24: Canchas Tierra Amarilla;Finalizada;Espacio Publico;Ministerio de Desarrollo Humano y Habitat;La obra se baso en la puesta en valor del espacio deportivo que comprende la cancha de voley y de futbol, la generacion de un espacio de esparcimiento y gimnasia. Ademas, se realizo la ejecucion de calzada vehicular y de veredas. ;2592231;4;BARRACAS;-34.617.623.497;-584.094.008.199;2/9/2017;23/3/2018;6;100;Cooperativa;2017;;
492;Entorno Cilda¤ez;Entorno Cilda¤ez: Eje Zuviria;Finalizada;Espacio Publico;Ministerio de Desarrollo Humano y Habitat;La obra consistio en el mejoramiento de la accesibilidad, la ejecucion de veredas sobre la calle Zuviria y pasillos que desembocan, dotacion de alumbrado publico y del ordenamiento del espacio publico. ;26399069;9;PARQUE AVELLANEDA;-346.550.556.565.689;-58.470.302.950.101;23/3/2017;1/2/2018;11;100;Servicios Ibarra S.A.;2016;;
572;Ecoparque;Ecoparque: Equipamiento De Quirofano;Finalizada;Arquitectura;Secretaria de Ambiente;Se suministro equipo veterinario ;4669930;14;PALERMO;-345.783.194.456.225;-584.148.211.012.661;20/11/2016;7/10/2017;11;100;Gemed S.R.L-Adox S.A.-Bahurac S.A.-Geodigital Group S.R.L-Guido Matias Altamirano-Instruequipos S.A-Kifer Medical S.A-Mdv Srl-Proveeduria Medica Srl-Quiro-Med Sacif,;2017;Licitacion Publica;9510-0271-LPU17
573;Ecoparque;Ecoparque: Tapir - Modificaciones En Recinto;Finalizada;Arquitectura;Secretaria de Ambiente;Se realizaron modificaciones en el recinto del tapir y dicho proceso se unifico con monario arabe.;610907;14;PALERMO;-345.783.194.456.225;-584.148.211.012.661;27/6/2017;5/12/2017;6;100;Punto H S.A;;Contratacion Menor;9510-2033-CME17
582;Plazas y Parques de Comuna 14;Patios De Juegos - Pigue;Finalizada;Espacio Publico;Subsecretaria de Gestion Comunal;El objetivo se baso en la puesta en valor del patio de juegos llevando a cabo el cambio de pisos por antigolpes y se colocaron juegos nuevos bajo normas de seguridad. ;1408272;14;PALERMO;-345.652.900.558.126;-584.382.911.899.396;19/6/2017;8/11/2017;5;100;Vap Construcciones S.R.L.;2017;;
583;Plazas y Parques de Comuna 14;Patios De Juegos -Niceto Vega;Finalizada;Espacio Publico;Subsecretaria de Gestion Comunal;El objetivo se baso en la puesta en valor del patio de juegos llevando a cabo el cambio de pisos por antigolpes y se colocaron juegos nuevos bajos normas de seguridad. ;1611936;14;PALERMO;-345.893.593.277.128;-584.354.731.609.495;16/6/2017;8/11/2017;5;100;Vap Construcciones S.R.L.;2017;;
584;Plazas y Parques de Comuna 14;Patio De Juegos - Willians Morris;Finalizada;Espacio Publico;Subsecretaria de Gestion Comunal;El proyecto contemplo la puesta en valor de la plazoleta William Morris ubicada en las calles Uriarte, Darregueyra y Guatemala. El patio de juego presentaba solado de arena y el equipamiento de la plaza se encontraba en estado de deterioro, es por esto que la propuesta contemplo la puesta en norma del patio de juegos colocando solado antigolpe y juegos inclusivos. Ademas, se reparo equipamiento existente y se incorporo superficie absorbente con nuevos canteros y plantacion de vegetacion.;755686;14;PALERMO;-345.841.871.522.768;-58.427.155.334.973;16/6/2017;8/11/2017;5;100;Vap Construcciones S.R.L.;2017;;
585;Barrio 1 11 14;Barrio 1 11 14: Cancha De Los Paraguayos;Finalizada;Espacio Publico;Ministerio de Desarrollo Humano y Habitat;Se realizo la ejecucion del tendido pluvial de las viviendas frentistas a la cancha, creacion y equipamiento de espacios de descanso, realizacion de solados y colocacion de rejas.;2891513;7;FLORES;-3.464.899;-58.440.442;1/3/2016;30/7/2017;16;100;Terminal 3 S.A;2016;;
588;Hospital Ramos Mejia;Hospital Ramos Mejia - Remodelacion Cocina Y Vestuarios;Finalizada;Salud;Ministerio de Salud;"La obra comprendio la ejecucion de los trabajos necesarios para dotar al hospital de un sector de almacenaje, preparacion y coccion de alimentos para los pacientes internados, remodelacion del sector de alimentacion, oficinas varias, vestuarios para el personal afectado al servicio. Ademas, cuenta con camaras frigorificas, sector de preparado, almacenaje, transporte vertical para los preparados y coccion; estos sectores cuentan con instalaciones acordes al uso: sanitarias, electricidad y aire acondicionado, salidas de emergencia segun normativas actuales.";16089020;3;BALVANERA;-346.176.205.106.544;-584.094.003.246.186;26/4/2017;21/1/2018;9;100;SES SA;2014;Ad Mantenimiento;
589;Hospital Ramos Mejia;Hospital Ramos Mejia - Ampliacion Central Gases Medicos Vacio Y Aire Comprimido;Finalizada;Salud;Ministerio de Salud;La obra consistio en la ampliacion central de gases medicos, vacio y aire comprimido para su puesta en norma.;3317643;3;BALVANERA;-346.176.205.106.544;-584.094.003.246.186;20/11/2017;18/6/2018;7;100;SES SA;2014;Ad Mantenimiento;
590;Hospital Elizalde;Hospital Elizalde - Remodelacion Del Sector De Guardia;Finalizada;Salud;Ministerio de Salud;La obra de refaccion de guardia en el Hospital Elizalde consistio en la puesta en valor de las zonas de circulacion de las guardias (publicas y consultorios), salas de espera, sanitarios publicos, colocacion de nuevos mesones de atencion para mejorar la experiencia de los vecinos y visitantes que utilizan las areas de guardias. ;985752;4;BARRACAS;-346.289.061.692.966;-583.776.119.540.788;8/11/2017;30/11/2017;0;100;Mejoramiento Hospitalario S.A.;;Ad Mantenimiento;
591;Hospital Fernandez;Hospital Fernandez - Remodelacion Del Sector De Guardia;Finalizada;Salud;Ministerio de Salud;La obra comprendio tareas de pintura, desmonte y reemplazo de cielorrasos suspendidos, pulido de pisos y revestimientos graniticos existentes, cambio de puertas de acceso a consultorios, mobiliario nuevo, cambio de artefactos de iluminacion y refaccion integral de sanitarios. El proyecto conto con 221 m2 cubiertos destinados al area de guardia. Se mejoraron las luminarias en los distintos sectores de atencion al publico, como sus salas de espera de consultorios en general a nivel de planta baja, en sus 3 accesos (Bulnes, Cervi¤o y Ruggieri) y el 1er. Subsuelo referido al acceso de la guardia A y su circulacion publica hacia la guardia B.;2579655;14;PALERMO;-34.581.139;-58.406.896;6/9/2017;15/8/2017;;100;Mig S.A.;2014;Licitacion Publica;66-SIGAF-MSGC-2014
592;Hospital Penna;Hospital Penna - Modificaciones en el sistema de clmatizacion de Neonatologia;Finalizada;Salud;Ministerio de Salud;La obra involucro trabajos complementarios a la obra de donacion del centro obstetrico / neonatologia del Hospital Penna y que resultaron indispensables para el correcto funcionamiento de ambos servicios. Consistieron en la ejecucion de refuerzos estructurales en losa y bases existentes, la readecuacion del sector en planta baja para traslado provisorio de dormitorios medicos de guardia (incluye A A), cambio de tramo de recorrido de ca¤eria troncal de gases medicinales y conexion desde subestacion Hospital Penna a tablero principal centro obstetrico.;350000;4;PARQUE PATRICIOS;-346.430.517.547.785;-584.114.123.648.285;20/2/2017;8/9/2017;7;100;Tecnaran S.R.L.;;;
593;Hospital Penna;Hospital Penna - Instalacion de sistema antirrayos;Finalizada;Salud;Ministerio de Salud;La obra consistio en la instalacion de un sistema de aislacion contra rayos que protege toda la superficie del hospital;640667;4;PARQUE PATRICIOS;-346.430.517.547.785;-584.114.123.648.285;15/11/2017;14/3/2018;4;100;Indaltec S.A.;2014;Licitacion Publica;74-SIGAF-MSGC-2014
594;Hospital Pi¤ero;Hospital Pi¤ero - Remodelacion Del Sector Guardia;Finalizada;Salud;Ministerio de Salud;La obra de refaccion de guardia en el Hospital Pi¤ero consistio en la puesta en valor de las zonas de circulacion de las guardias (publicas y consultorios), salas de espera, sanitarios publicos, nuevos mesones de atencion para mejorar la experiencia de los vecinos y visitantes que utilizan las areas de guardia. En dicha sala de espera se realizo el retiro de carteleria y se¤aletica en paredes que comprenden el sector, reemplazo de meson y nuevo mostrador atencion admision, reemplazo de puertas acceso consultorios y sanitarios. ;1900011;7;FLORES;-346.441.243.289.697;-584.536.745.869.801;10/7/2017;26/10/2017;3;100;Lesko S.A.C.I.F.I.A.;2014;;
595;Hospital Rivadavia;Hospital Rivadavia - Trabajos de remodelacion del sector de Guardia;Finalizada;Salud;Ministerio de Salud;La obra de refaccion de guardia en el Hospital Rivadavia consistio en la puesta en valor de las zonas de circulacion de las guardias (publicas y consultorios), salas de espera, sanitarios publicos, nuevos mesones de atencion para mejorar la experiencia de los vecinos y visitantes que utilizan las areas de guardia. Ademas, se contemplaron tareas de pintura, desmonte y reemplazo de cielorrasos suspendidos, pulido de pisos y revestimientos graniticos existentes, cambio de puertas de acceso a consultorios, mobiliario nuevo, cambio de artefactos de iluminacion.;14893428;2;RECOLETA;-345.843.552.484.895;-584.008.112.524.066;25/7/2017;21/12/2017;5;100;Mantelectric I.C.I.S.A., Riva S.A.I.I.C.F.A. Ute;2014;Licitacion Publica;79-SIGAF-MSGC-2014
596;Hospital Santojanni;Hospital Santojanni - Remodelacion Guardia;Finalizada;Salud;Ministerio de Salud;La obra de refaccion de guardia en el Hospital Santojanni consistio en la puesta en valor de las zonas de circulacion de las guardias (publicas y consultorios), salas de espera, sanitarios publicos, nuevos mesones de atencion para mejorar la experiencia de los vecinos y visitantes que utilizan las areas de guardia. En dicha sala de espera se retiro la carteleria y se¤aletica en paredes que comprenden el sector y se realizaron trabajos de pintura en el meson de atencion existente y en la circulacion de los consultorios. ;5813679;9;LINIERS;-34.649.353.382.263;-585.158.005.646.782;17/7/2017;9/1/2017;;100;Indaltec S.A.;2014;;
597;Hospital Velez Sarfield;Hospital Velez Sarfield - Remodelacion Guardia;Finalizada;Salud;Ministerio de Salud;La obra de refaccion de guardia en el Hospital Velez Sarsfield consistio en la puesta en valor de las zonas de circulacion de las guardias (publicas y consultorios), salas de espera, sanitarios publicos, nuevos mesones de atencion para mejorar la experiencia de los vecinos y visitantes que utilizan las areas de guardia. En dicha sala de espera se retiro la carteleria y se¤aletica en paredes que comprenden el sector y se realizaron trabajos de pintura en el meson de atencion existente y en la circulacion de los consultorios. ;1748496;10;MONTE CASTRO;-34.625.226.960.523;-585.074.990.487.973;22/6/2017;19/9/2017;3;100;Sehos S.A.;2014;;
598;Hospital Zubizarreta;Hospital Zubizarreta - Remodelacion Guardia;Finalizada;Salud;Ministerio de Salud;La obra de refaccion de guardia en el Hospital Zubizarreta consistio en la puesta en valor de las zonas de circulacion de las guardias (publicas y consultorios), salas de espera, sanitarios publicos, nuevos mesones de atencion para mejorar la experiencia de los vecinos y visitantes que utilizan las areas de guardia. En dicha sala de espera se retiro la carteleria y se¤aletica en paredes que comprenden el sector y se realizaron trabajos de pintura en el meson de atencion existente y en la circulacion de los consultorios. ;11089624;11;VILLA DEVOTO;-345.999.046.597.321;-585.112.049.294.097;29/8/2017;27/11/2017;3;100;Sehos S.A.;2014;;
640;Sedes comunales;Sede Comunal 14 - Reforma;Finalizada;Arquitectura;Subsecretaria de Gestion Comunal;El sector que se intervino se correspondio con las salas de casamiento en la Sede Comunal Nø14 con acceso desde la Av. Coronel Diaz. El objetivo fue generar un espacio comodo para el flujo de personas que utiliza las salas de casamiento, mientras en otra parte del mismo salon se realizan las inscripciones de los recien nacidos aislando acusticamente el espacio, y a la vez permitiendo a la comuna aumentar los servicios. Los cambios esteticos de las salas de casamiento le otorgaron una personalidad distintiva a la Sede Comunal Nø14, y a la vez una cierta armonia con la obra ya realizada en el sector de Calle Beruti.;6081664;14;PALERMO;-345.872.332.174.827;-584.094.378.450.473;10/3/2016;20/2/2017;11;100;Grim Constructora S.A.;2016;;
644;Centros de Salud en Villa Lugano;Cesac Nø 28: Adecuacion edilicia para su instalacion;Finalizada;Salud;Ministerio de Salud;"La obra comprendio la union entre las obras e instalaciones nuevas con las existentes. Por lo tanto, se llevo a cabo la demolicion, retiro de instalaciones existentes, retiro y picado de pisos y revestimientos, cerramiento de vanos con mamposteria, reparacion de revoques exteriores e interiores, reparacion y ejecucion de contrapisos, banquinas bajo mesadas y cordones para tabiques de placas de roca y de yeso en locales humedos, construccion de tabiques y cielorrasos de placas de roca de yeso. Se realizaron la colocacion de pisos y zocalos y revestimientos ceramicos en ba¤os, vacunatorio y estar de enfermeria, mesadas de granito con bachas de acero inox., muebles bajo mesada, heladera bajo mesada y anafe electrico; colocacion y pintura de carpinterias, puertas y ventanas con vidrios y espejos en ba¤os, instalaciones sanitarias, electricas, gases medicos (oxigeno), contra incendio (matafuegos), termomecanica (aire frio calor).";4000000;8;VILLA LUGANO;-346.845.380.751.747;-584.641.468.073.126;22/12/2016;31/1/2017;1;100;Mad Desarollos S.R.L.;;;
645;Centros de Salud en Villa Lugano;Cesac Nø 3: Adecuacion edilicia para su instalacion;Finalizada;Salud;Ministerio de Salud;"La obra comprendio la union entre las obras e instalaciones nuevas con las existentes. Por lo tanto, se llevo a cabo la demolicion, retiro de instalaciones existentes, retiro y picado de pisos y revestimientos, cerramiento de vanos con mamposteria, reparacion de revoques exteriores e interiores, reparacion y ejecucion de contrapisos, banquinas bajo mesadas y cordones para tabiques de placas de roca y de yeso en locales humedos, construccion de tabiques y cielorrasos de placas de roca de yeso. Se realizaron la colocacion de pisos y zocalos y revestimientos ceramicos en ba¤os, vacunatorio y estar de enfermeria, mesadas de granito con bachas de acero inox., muebles bajo mesada, heladera bajo mesada y anafe electrico; colocacion y pintura de carpinterias, puertas y ventanas con vidrios y espejos en ba¤os, instalaciones sanitarias, electricas, gases medicos (oxigeno), contra incendio (matafuegos), termomecanica (aire frio calor).";3983941;8;VILLA LUGANO;-346.845.380.751.747;-584.641.468.073.126;4/5/2017;6/6/2017;1;100;Mad Desarollos S.R.L.;;;
646;Centros de Salud en Villa del Parque;Cesac Nø 34: Colocacion De Membrana Nueva En Azotea;Finalizada;Salud;Ministerio de Salud;Se realizo la colocacion de una nueva membrana.;834229;11;VILLA DEL PARQUE;-346.065.356.091.196;-584.781.476.936.859;7/6/2017;12/6/2017;0;100;Sehos S.A.;2015;;
647;Hospital alvarez;Hospital Alvarez - Proyecto, Montaje Y Normalizacion De Instalacion Interna Pabellones I, V, XV, XVI;Finalizada;Salud;Ministerio de Salud;La obra consistio en el montaje y normalizacion de instalaciones internas de los Pabellones I, V, XV., XVI;3881756;7;FLORES;-346.242.921.617.282;-584.694.218.408.327;5/12/2016;2/3/2017;3;100;Cooperativa De Trabajo Evita Limitada;;;
648;Hospital Borda;Hospital Borda - Relocalizacion Servicio Bulimia Y Anorexia Del Pabellon Central;Finalizada;Salud;Ministerio de Salud;La obra comprendio la remodelacion integral de un sector del Pabellon central del Hospital, ubicado en la planta baja del ala 4b para dar respuesta a los requerimientos planteados por el Hospital. El sector destinado al servicio de bulimia y anorexia, fue sujeto a remodelacion integral y cuenta con un total de 798 m2 cubiertos y 29 m2 descubiertos, se encuentra desarrollado en una planta.;8108578;4;BARRACAS;-346.365.370.096.197;-583.818.785.437.976;16/6/2014;1/10/2017;40;100;Sunil S.A.;2014;;
649;Hospital Marie Curie;Hospital Marie Curie - Construccion De Una Nueva Morgue;Finalizada;Salud;Ministerio de Salud;La obra consistio en la construccion de una nueva morgue en el Hospital Municipal de Oncologia Marie Curie. La prestacion comprendio el suministro de la totalidad de los materiales, mano de obra, herramientas, desplazamiento de objetos y/o equipos o maquinarias y todos los elementos necesarios para realizar la tarea encomendada necesaria para la ejecucion de la obra.;5394334;6;CABALLITO;-346.070.846.880.877;-584.328.786.309.778;15/9/2017;9/2/2017;;100;DALKIA ARGENTINA SOCIEDAD ANONIMA - CONSTRUCTORA LANUSSE S.A. UNIoN TRANSITORIA DE EMPRESAS;2014;;
650;Hospital Marie Curie;Hospital Marie Curie - Proyecto, Construccion, Montaje, Normalizacion, Habilitacion Y Puesta En Marcha De Ramal Y Servicio De Gas - Parte I;Finalizada;Salud;Ministerio de Salud;La obra consistio en la construccion, montaje, normalizacion, habilitacion y puesta en marcha de ramal y servicio de gas- Parte 1.;3046562;6;CABALLITO;-346.070.846.880.877;-584.328.786.309.778;21/9/2016;19/1/2017;4;100;Cooperativa De Trabajo Evita Limitada;;;
651;Hospital Durand;Hospital Durand - Proyecto, Montaje Y Normalizacion De Instalacion Interna Edificios VI Y XI;Finalizada;Salud;Ministerio de Salud;La obra consistio en la construccion, montaje, normalizacion y puesta en marcha de ramal y servicio de gas- Parte 1.;2888560;6;CABALLITO;-346.088.715.380.348;-584.378.883.759.306;24/11/2016;26/12/2016;1;100;COOPERATIVA DE TRABAJO LA UNICA LTDA.;;;
652;Centros de Salud en Almagro;CESAC N 38: Refuncionalizacion 3ø Piso, Sector Administrativo;Finalizada;Salud;Ministerio de Salud;Se realizo la provision y ejecucion de todos los trabajos necesarios para la refuncionalizacion integral del area administrativa ubicada en el 3ø piso, sector frente del edificio de Medrano 350 de la Ciudad Autonoma de Buenos Aires, respondiendo al programa elevado oportunamente por los responsables del area a cargo de las nuevas oficinas.;7489486;5;ALMAGRO;-346.066.113.169.962;-584.214.273.975.518;7/11/2016;4/2/2017;3;100;Juan Pablo Boyatjian;;;
656;Hospital Moyano;Hospital Moyano - Reparacion De Terraza Y Tanque De Agua En Clinica Medica;Finalizada;Salud;Ministerio de Salud;La obra consistio en la impermeabilizacion de la cubierta del Pabellon de clinica medica, la cual presentaba la membrana asfaltica muy da¤ada y en varios sectores levantada o con faltantes teniendo filtraciones a los servicios inferiores, ademas, de los revoques flojos en todo el perimetro del muro de la terraza. Es por esto que se procedio a la reparacion e impermeabilizacion del tanque de agua sobre la terraza de bajadas a los servicios con perforaciones en la losa, lo cual facilita las filtraciones.;2279344;4;BARRACAS;-346.390.798.058.117;-583.843.248.363.911;3/10/2016;3/3/2017;5;100;SES SA;2014;;
657;Hospital Moyano;Hospital Moyano - Cambio De Bomba De Agua Y Adecuacion De Sala En Tanque Torre;Finalizada;Salud;Ministerio de Salud;La obra consistio en el cambio de las bombas principales de agua que alimentan el tanque torre, el cual abastece a todo el hospital, ademas de una puesta a cero de las bombas auxiliares existentes. Se propuso un reacondicionamiento de toda la sala de maquinas tanto en lo civil y electrico, ya que las instalaciones estaban con conexiones precarias y con malas terminaciones.;2933662;4;BARRACAS;-346.390.798.058.117;-583.843.248.363.911;3/10/2016;24/2/2017;4;100;SES SA;2014;;
658;Hospital Mu¤iz;Hospital Mu¤iz - Remodelacion Sala 32 De Pediatria;Finalizada;Salud;Ministerio de Salud;La obra consistio en la remodelacion integral de la Sala 32 dando respuesta por un lado, a la necesidad de incorporar sanitarios para sectorizar a los pacientes y por otro, al requerimiento de reactivacion del Pabellon que se encuentra catalogado como edificio con ?proteccion cautelar dentro de los lineamientos del patrimonio cultural. El proyecto conto con 418 m2 cubiertos destinados al servicio de internacion incluyendo 2 habitaciones aisladas individuales con ba¤o privado y areas de apoyo medico, de los cuales 262 m2 se desarrollan en planta baja, 71 m2 en un primer piso. Tambien se complemento con un sector destinado a sala de maquinas y tableros, ubicada en primer piso con una superficie de 85 m2 y superficie descubierta de 230 m2. La Sala 32 se encuentra resuelta funcionalmente en dos sectores, uno de ellos comprende el acceso al pabellon con los servicios de apoyo de enfermeria y medico y el otro corresponde a la internacion propiamente dicha.;22616453;4;PARQUE PATRICIOS;-346.372.175.114.993;-583.929.995.693.862;26/11/2016;2/10/2017;11;100;Henisa Sudamericana S.A.;2014;;
660;Hospital Mu¤iz;Hospital Mu¤iz - Construccion Muro Perimetral En La Ochava De Las Avenidas Velez Sarsfield Y Amancio Alcorta Etapa IV;Finalizada;Salud;Ministerio de Salud;La obra consistio en la demolicion de los muros existentes y la ejecucion nuevo muro. Se llevo a cabo el movimiento de suelo de excavacion y luego de ejecutado el muro se realizo el movimiento de suelo de relleno. Ademas, se realizo la instalacion pluvial.;4131009;4;PARQUE PATRICIOS;-346.372.175.114.993;-583.929.995.693.862;24/10/2016;30/4/2017;6;100;Indaltec S.A.;2014;;
661;Hospital Pi¤ero;Hospital Pi¤ero - Normalizacion Integral De Gas? 1 Etapa;Finalizada;Salud;Ministerio de Salud;La obra consistio en la construccion, montaje, normalizacion, habilitacion y puesta en marcha de ramal y servicio de gas - Parte 1 ;4466925;7;FLORES;-346.441.243.289.697;-584.536.745.869.801;30/3/2017;31/12/2016;;100;COOPERATIVA DE TRABAJO LA UNICA LTDA.;;;
664;Hospital Udaondo;Hospital Udaondo - Mejoras En El Acceso A Personas Con Movilidad Reducida En Pabellon A;Finalizada;Salud;Ministerio de Salud;La obra consistio en dotar al acceso principal del Pabellon A de un ascensor para discapacitados que cumpla el objetivo de elevar a aquellas personas desde el nivel de la vereda exterior del Pabellon al mismo nivel del hall principal, desnivel que ronda los 0.75m. Para ello se elevo el nivel del porch, eliminando los escalones interiores y construyendo una darsena en el exterior para la llegada de dicho ascensor. Asimismo, por el avance de dicha darsena se ha realizado la ampliacion de dicho espacio, avanzando sobre el sector parquizado y modificando la escalinata principal sobre linea de frente, eliminando el descanso y respetando la forma original.;3723201;4;PARQUE PATRICIOS;-346.343.458.788.506;-583.913.609.234.425;15/9/2016;31/1/2017;4;100;Indaltec S.A.;2014;;
